Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
"Yorkshire and The Humber, Leisure, travel and related personal service occupations",28,343.5,12.5,349.6,12.6,119.90,173.00,197.90,231.10,284.90,389.50,434.30,461.00,500.90,x,2023-01-01
"Yorkshire and The Humber, Sales and customer service occupations",145,313.1,4.4,335.6,6,111.60,169.70,188.10,208.40,255.60,380.10,436.00,456.00,479.10,565.70,2023-01-01
"Yorkshire and The Humber, Sales occupations",107,275.1,1.2,307.1,3,98.10,156.60,171.50,187.90,222.90,325.20,394.30,428.20,453.80,536.30,2023-01-01
"Yorkshire and The Humber, Customer service occupations",38,429.9,12.8,415.1,14.8,183.30,239.30,284.50,321.40,397.10,455.20,479.10,496.90,520.60,x,2023-01-01
"Yorkshire and The Humber, Process, plant and machine operatives",125,561.9,8.2,602.4,7.8,312.90,418.10,452.90,473.50,519.00,621.80,682.70,725.80,763.40,916.00,2023-01-01
"Yorkshire and The Humber, Process, plant and machine operatives",64,525,8.8,550.2,8.2,297.60,394.30,423.80,450.00,482.10,569.90,628.20,659.60,685.90,x,2023-01-01
"Yorkshire and The Humber, Transport and mobile machine drivers and operatives",61,606.4,4.6,656.7,6,321.40,459.40,493.10,515.70,558.00,678.50,748.90,792.00,837.20,x,2023-01-01
"Yorkshire and The Humber, Elementary occupations",255,317.7,11.4,329.6,7.3,76.20,120.50,145.90,173.10,231.50,401.80,443.80,469.20,503.10,603.70,2023-01-01
"Yorkshire and The Humber, Elementary trades and related occupations",30,436.8,4.8,456.9,9,235.80,363.00,392.00,406.40,422.60,472.40,512.10,542.90,568.30,x,2023-01-01
"Yorkshire and The Humber, Elementary administration and service occupations",225,272.4,8.1,312.8,7,68.10,114.20,133.80,160.50,207.50,365.00,433.50,457.20,493.20,583.20,2023-01-01
East Midlands,1858,527.3,6.4,589.6,5.7,175.90,298.20,358.00,407.40,465.00,599.10,690.60,748.90,816.50,1015.70,2023-01-01
"East Midlands, Managers, directors and senior officials",170,780.2,4.7,931.3,6.6,345.00,517.80,573.30,609.20,697.40,884.60,1044.20,1143.80,1236.70,1648.70,2023-01-01
"East Midlands, Corporate managers and directors",126,843.4,8.2,1004.9,8.7,359.80,539.30,595.90,652.40,759.40,978.00,1149.90,1243.00,1384.70,1795.80,2023-01-01
"East Midlands, Other managers and proprietors",44,656.8,-0.8,721.7,3.2,328.70,479.10,518.50,553.20,603.20,709.50,781.10,822.60,911.50,x,2023-01-01
"East Midlands, Professional occupations",416,743.8,5.6,795.3,5.5,408.80,519.80,568.40,608.10,670.80,822.70,913.50,958.30,1014.10,1232.40,2023-01-01
"East Midlands, Science, research, engineering and technology professionals",110,827.7,8,881.3,8.1,521.40,604.40,639.40,666.70,744.80,924.90,1006.20,1063.70,1144.80,x,2023-01-01
"East Midlands, Health professionals",94,686.5,2.8,780.2,0.9,339.90,469.20,518.50,548.20,631.50,782.40,880.00,930.00,1004.30,x,2023-01-01
"East Midlands, Teaching and other educational professionals",97,743.8,6.3,749.5,8.3,336.30,498.40,536.70,577.20,675.90,807.40,878.00,907.20,940.70,x,2023-01-01
"East Midlands, Business, media and public service professionals",115,710.8,5,764.1,2.7,391.40,498.40,555.00,596.10,656.10,766.70,869.80,922.40,985.80,x,2023-01-01
"East Midlands, Associate professional occupations",275,577.8,2.6,636.3,3.8,270.70,416.70,457.00,479.10,530.00,645.60,732.40,786.60,842.90,1028.60,2023-01-01
"East Midlands, Science, engineering and technology associate professionals",62,593,5.5,630.7,8.7,397.20,460.40,479.10,496.20,540.30,646.50,711.20,748.00,802.70,x,2023-01-01
"East Midlands, Health and social care associate professionals",42,444.9,2.3,428,-1.2,x,275.50,311.90,340.80,402.90,488.30,515.50,556.60,577.80,x,2023-01-01
"East Midlands, Protective service occupations",24,722.7,-1.7,747.7,2.7,475.50,534.10,554.70,582.30,648.70,809.30,831.20,870.20,907.50,x,2023-01-01
"East Midlands, Culture, media and sports occupations",18,450,11.9,472.8,-13.4,x,x,x,x,x,495.90,x,x,x,x,2023-01-01
"East Midlands, Business and public service associate professionals",130,637.7,4.5,708.1,4.1,326.10,461.50,487.70,517.50,574.90,720.30,815.30,867.30,945.30,1141.40,2023-01-01
"East Midlands, Administrative and secretarial occupations",201,437.2,9.7,431.2,6.2,173.50,245.70,286.50,327.10,402.10,469.10,507.00,533.70,565.30,656.70,2023-01-01
"East Midlands, Administrative occupations",166,447,8.4,446.1,5.8,176.30,255.00,306.50,349.70,416.50,479.10,522.90,539.10,575.20,671.50,2023-01-01
"East Midlands, Secretarial and related occupations",35,348.1,10.2,361.2,7.5,157.70,209.30,237.40,250.00,302.10,412.00,444.20,468.40,490.60,x,2023-01-01
"East Midlands, Skilled trades occupations",146,598.2,5.6,618.5,5.9,279.50,418.70,456.50,485.10,538.70,657.10,719.80,766.30,813.80,959.70,2023-01-01
"East Midlands, Skilled agricultural and related trades",6,466.6,11.5,445.5,-3.4,x,x,x,410.70,433.70,480.90,516.80,x,x,x,2023-01-01
"East Midlands, Skilled metal, electrical and electronic trades",81,693.7,10.2,718.1,9.9,460.00,523.40,557.70,587.00,644.00,737.40,813.80,862.70,895.30,1032.10,2023-01-01
"East Midlands, Skilled construction and building trades",22,613.9,5.1,640.7,1.9,343.60,459.40,493.00,522.60,570.30,657.10,730.80,759.00,798.80,x,2023-01-01
"East Midlands, Textiles, printing and other skilled trades",36,419.3,5.4,409.2,1.4,163.70,209.70,249.40,306.40,378.90,454.50,507.10,532.90,577.90,x,2023-01-01
"East Midlands, Caring, leisure and other service occupations",161,367.6,10,357.1,5.1,123.90,210.10,238.20,260.40,325.20,408.30,441.50,459.10,485.00,559.30,2023-01-01
"East Midlands, Caring personal service occupations",137,369.4,9.1,360.4,5.4,132.40,219.40,242.90,271.00,330.90,409.10,441.20,459.00,484.10,556.30,2023-01-01
"East Midlands, Leisure, travel and related personal service occupations",23,313.2,2.3,327.8,2.5,x,166.00,195.10,219.00,248.90,392.90,427.70,451.90,470.40,x,2023-01-01
"East Midlands, Sales and customer service occupations",109,306.5,8.5,329.2,7.1,107.80,166.20,180.50,207.20,251.40,357.50,416.50,439.90,470.90,556.00,2023-01-01
"East Midlands, Sales occupations",82,276.9,4.5,301.8,3.7,101.00,153.30,171.00,186.40,224.60,326.10,388.90,410.10,435.30,513.20,2023-01-01
"East Midlands, Customer service occupations",27,416.8,23.9,413.3,19.3,148.20,232.50,255.60,287.80,371.60,463.30,504.40,536.10,555.80,x,2023-01-01
"East Midlands, Process, plant and machine operatives",117,550,6,584.1,6,298.30,416.00,434.30,455.80,497.90,604.60,683.10,726.30,764.80,914.40,2023-01-01
"East Midlands, Process, plant and machine operatives",60,516.9,6.2,554.4,5.4,345.20,415.80,429.80,444.90,480.70,552.70,605.20,649.40,687.70,838.40,2023-01-01
"East Midlands, Transport and mobile machine drivers and operatives",57,609,6.9,615.6,6,243.50,416.00,439.40,467.30,549.40,682.90,744.90,784.50,822.50,964.20,2023-01-01
