Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
"North West, Elementary administration and service occupations",215,15970,-2.4,16573,2.8,3680.00,6269.00,7636.00,8742.00,12281.00,19609,22491.00,23885.00,25415.00,29860.00,2023-01-01
Yorkshire and The Humber,1788,27304,5.6,31136,4.3,9954.00,15850.00,18525.00,20762.00,24141.00,31295,36223.00,39361.00,42503.00,53991.00,2023-01-01
"Yorkshire and The Humber, Managers, directors and senior officials",186,40381,8,49432,3.9,19345.00,25000.00,27734.00,29901.00,34721.00,46220,54675.00,59606.00,65139.00,x,2023-01-01
"Yorkshire and The Humber, Corporate managers and directors",149,42830,4.7,52435,3.1,x,25909.00,28879.00,30635.00,37362.00,50000,58783.00,63884.00,68197.00,x,2023-01-01
"Yorkshire and The Humber, Other managers and proprietors",38,33113,10.5,37638,7.9,19225.00,23419.00,25010.00,26246.00,30003.00,36377,40129.00,42430.00,45663.00,x,2023-01-01
"Yorkshire and The Humber, Professional occupations",443,38214,5.4,40775,5.1,20634.00,26208.00,27936.00,30021.00,34159.00,41894,46764.00,49343.00,53048.00,63751.00,2023-01-01
"Yorkshire and The Humber, Science, research, engineering and technology professionals",112,41675,3,45396,6.3,23955.00,28364.00,30562.00,32807.00,37523.00,46253,51166.00,54605.00,56880.00,x,2023-01-01
"Yorkshire and The Humber, Health professionals",91,35307,8.4,38157,4,17469.00,24210.00,26597.00,28229.00,31942.00,39383,43360.00,45971.00,48545.00,x,2023-01-01
"Yorkshire and The Humber, Teaching and other educational professionals",108,36601,3.8,37923,3.7,16793.00,24070.00,26787.00,28918.00,33377.00,40603,43621.00,45669.00,49534.00,x,2023-01-01
"Yorkshire and The Humber, Business, media and public service professionals",132,38063,4.6,40994,3.7,22837.00,26816.00,27948.00,30156.00,34233.00,42048,x,x,x,x,2023-01-01
"Yorkshire and The Humber, Associate professional occupations",270,29607,0.5,32561,0,15548.00,20992.00,22613.00,24052.00,26594.00,33090,37276.00,39989.00,42707.00,x,2023-01-01
"Yorkshire and The Humber, Science, engineering and technology associate professionals",54,31099,5.3,32662,1.7,17539.00,22584.00,24334.00,25975.00,27731.00,33790,37031.00,38723.00,40698.00,x,2023-01-01
"Yorkshire and The Humber, Health and social care associate professionals",46,22215,4.5,21712,5,10161.00,15263.00,16176.00,17729.00,19824.00,24055,25511.00,26456.00,28242.00,x,2023-01-01
"Yorkshire and The Humber, Protective service occupations",26,38865,-1.2,38899,0.8,25908.00,29471.00,31268.00,32318.00,36506.00,42483,44502.00,46849.00,48049.00,x,2023-01-01
"Yorkshire and The Humber, Business and public service associate professionals",131,32296,2.7,35925,0,17431.00,22865.00,24420.00,25425.00,28470.00,35566,41017.00,42801.00,47691.00,x,2023-01-01
