Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
"Yorkshire and The Humber, Skilled trades occupations",153,39.3,-1.9,38.7,-3.5,28.70,35.00,37.00,37.00,38.00,x,40.00,40.80,42.10,46.00,2020-01-01
"  Yorkshire and The Humber, Skilled metal, electrical and electronic trades",85,40,0,40.3,-3.7,33.50,37.00,37.50,38.00,39.00,40.00,40.40,42.00,42.90,x,2020-01-01
"  Yorkshire and The Humber, Skilled construction and building trades",30,39.1,-2.4,40.8,0.7,34.00,37.00,37.00,37.00,x,x,40.00,40.00,41.20,x,2020-01-01
"  Yorkshire and The Humber, Textiles, printing and other skilled trades",34,36.1,-6.3,33.2,-9.1,16.00,23.90,26.40,29.20,32.10,37.50,39.90,40.00,41.20,x,2020-01-01
"Yorkshire and The Humber, Caring, leisure and other service occupations",217,30.6,1.7,29.3,1.3,12.80,18.80,21.90,24.00,28.00,34.00,37.00,37.30,37.50,40.50,2020-01-01
"  Yorkshire and The Humber, Caring personal service occupations",190,31,3.1,29.7,2.1,13.40,19.50,22.40,24.10,28.50,34.00,37.00,37.30,37.50,40.90,2020-01-01
"  Yorkshire and The Humber, Leisure, travel and related personal service occupations",26,29,-3.5,26.6,-4.6,x,16.00,17.60,18.80,23.50,32.30,37.00,37.00,37.00,x,2020-01-01
"Yorkshire and The Humber, Sales and customer service occupations",182,30,0.5,27.5,-1.1,10.80,16.00,17.90,19.90,23.90,35.00,37.40,37.50,37.80,40.00,2020-01-01
"  Yorkshire and The Humber, Sales occupations",125,25,-0.2,25.7,-0.6,9.10,14.10,16.00,17.60,20.50,30.40,36.40,37.50,38.00,40.20,2020-01-01
"  Yorkshire and The Humber, Customer service occupations",57,36.5,-0.3,31.4,-3.7,15.70,20.60,24.00,28.20,35.00,37.00,37.50,37.50,37.60,x,2020-01-01
"Yorkshire and The Humber, Process, plant and machine operatives",143,39.5,-2.4,39,-5.8,25.00,34.90,36.30,37.00,38.80,40.00,42.80,44.80,46.50,52.00,2020-01-01
"  Yorkshire and The Humber, Process, plant and machine operatives",72,39,-2.5,38.4,-3.8,30.00,34.90,36.30,37.00,38.00,40.00,40.30,41.90,42.80,47.60,2020-01-01
"  Yorkshire and The Humber, Transport and mobile machine drivers and operatives",71,40,-6.7,39.7,-7.7,21.90,34.90,36.50,37.10,39.00,42.70,45.90,48.00,49.90,55.40,2020-01-01
"Yorkshire and The Humber, Elementary occupations",225,29.1,-0.4,25.9,-5.6,6.30,10.30,12.50,15.10,21.00,36.00,38.00,39.20,40.00,43.50,2020-01-01
