Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
"  North West, Teaching and educational professionals",167,23.85,2.4,24.19,0.2,14.37,16.79,18.06,19.47,21.97,25.2,27.35,28.21,30.13,35.79,2020-01-01
"  North West, Business, media and public service professionals",145,19.71,1.2,21.23,0.6,12.28,14.99,15.81,16.46,18.16,21.6,23.39,24.88,26.50,31.68,2020-01-01
"North West, Associate professional and technical occupations",399,15.17,-1.6,17.5,0.8,9.64,11.00,11.75,12.37,13.76,16.69,19.12,19.93,21.29,26.15,2020-01-01
"  North West, Science, engineering and technology associate professionals",69,14.12,-1.8,15.49,1,9.29,10.31,11.15,11.6,12.39,15.81,17.19,17.97,19.40,x,2020-01-01
"  North West, Health and social care associate professionals",51,12.6,2.3,14.06,1.9,9.24,10.33,10.58,11.13,11.87,13.57,14.45,15.10,15.78,x,2020-01-01
"  North West, Protective service occupations",30,19.26,9.3,19.52,13.3,13.11,14.28,14.61,15.29,18.54,19.73,20.26,20.76,21.44,x,2020-01-01
"  North West, Culture, media and sports occupations",28,13.51,-6.2,16,-3.2,9.01,10.03,10.22,10.95,12.79,14.41,16.42,17.38,x,x,2020-01-01
"  North West, Business and public service associate professionals",222,16.03,0.2,18.66,-0.1,9.80,11.36,12.16,13.05,14.56,17.88,19.93,21.21,23.18,29.65,2020-01-01
"North West, Administrative and secretarial occupations",316,11.07,1,12.82,2.3,8.72,9.36,9.73,9.96,10.52,12.06,13.34,13.95,15.10,19.11,2020-01-01
"  North West, Administrative occupations",253,11.46,2.3,13.1,2.2,8.81,9.65,9.91,10.1,10.68,12.54,13.79,14.41,15.38,19.84,2020-01-01
"  North West, Secretarial and related occupations",63,10.12,1,11.54,2.6,8.26,8.78,9.00,9.2,9.71,10.81,11.40,12.12,12.38,x,2020-01-01
"North West, Skilled trades occupations",173,11.94,-3,13.35,-0.3,7.69,8.99,9.40,9.84,10.78,13.01,14.68,15.57,16.48,19.96,2020-01-01
"  North West, Skilled agricultural and related trades",10,10.62,2.9,10.67,2,x,9.00,9.32,9.44,9.93,10.79,11.21,x,x,x,2020-01-01
"  North West, Skilled metal, electrical and electronic trades",99,13.93,-2.2,14.73,-1.2,8.69,10.11,10.89,11.39,12.6,15.13,16.75,17.63,18.43,22.03,2020-01-01
"  North West, Skilled construction and building trades",24,11.92,-6,11.79,-9.3,6.69,8.60,9.00,9.71,10.34,12.54,13.53,14.07,14.59,x,2020-01-01
"  North West, Textiles, printing and other skilled trades",41,9.56,-0.7,11.09,6.1,6.95,8.26,8.72,8.72,9.03,9.9,10.43,10.78,11.24,x,2020-01-01
"North West, Caring, leisure and other service occupations",269,9.92,3.5,10.56,1.4,8.28,8.80,8.96,9.11,9.54,10.38,11.05,11.51,12.19,13.81,2020-01-01
"  North West, Caring personal service occupations",232,9.93,3.3,10.59,2.4,8.66,8.85,9.00,9.17,9.58,10.45,11.11,11.60,12.27,13.77,2020-01-01
"  North West, Leisure, travel and related personal service occupations",37,9.59,0.7,10.36,-4.1,6.85,7.78,8.35,8.72,9.21,9.97,10.71,11.08,11.50,x,2020-01-01
"North West, Sales and customer service occupations",224,9.44,4.9,10.88,2,7.60,8.72,8.77,8.97,9.17,9.83,10.42,10.97,11.88,14.90,2020-01-01
"  North West, Sales occupations",158,9.22,6,10.31,2.7,7.39,8.68,8.72,8.8,9.02,9.53,9.89,10.12,10.54,13.18,2020-01-01
"  North West, Customer service occupations",66,10.5,1.2,12,0.9,8.61,9.00,9.15,9.3,9.94,11.34,12.45,12.96,14.14,x,2020-01-01
"North West, Process, plant and machine operatives",152,11.1,0,12.34,-0.3,8.46,8.99,9.36,9.71,10.31,11.99,13.10,13.83,14.75,17.58,2020-01-01
"  North West, Process, plant and machine operatives",68,10.91,-0.5,12.11,-0.3,8.24,8.80,9.01,9.31,10.13,11.83,13.18,13.97,14.82,x,2020-01-01
"  North West, Transport and mobile machine drivers and operatives",84,11.29,0.2,12.52,-0.4,8.72,9.28,9.60,9.86,10.43,12.03,13.01,13.75,14.65,x,2020-01-01
"North West, Elementary occupations",263,9.19,4,10.35,3.2,6.67,8.03,8.40,8.72,8.81,9.58,10.20,10.61,11.09,13.12,2020-01-01
