date,fuel,price,dayofquery,Car,MY,Category,ppm,UniqueID,fuelingcategory,DirectDebitComparison,DirectDebitComparisonNight
2021-02-10,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-10,Petrol,120.94,2021-02-10,Mini Cooper (3-door),2021,City Car,12.64,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-10,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-11,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-11,Petrol,121.16,2021-02-11,Mini Cooper (3-door),2021,City Car,12.66,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-11,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-12,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-12,Petrol,121.32,2021-02-12,Mini Cooper (3-door),2021,City Car,12.68,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-12,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-15,mean rapid charger,42.25,2021-02-15,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-15,Petrol,121.53,2021-02-15,Mini Cooper (3-door),2021,City Car,12.70,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-15,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-16,mean rapid charger,42.25,2021-02-15,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-16,Petrol,121.66,2021-02-16,Mini Cooper (3-door),2021,City Car,12.71,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-16,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-17,mean rapid charger,42.25,2021-02-15,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-17,Petrol,121.84,2021-02-17,Mini Cooper (3-door),2021,City Car,12.73,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-17,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-18,mean rapid charger,42.25,2021-02-15,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-18,Petrol,121.91,2021-02-18,Mini Cooper (3-door),2021,City Car,12.74,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
