REF_AREA,Reference area,Frequency of observation,Measure,Unit of measure,Transport mode,TIME_PERIOD,OBS_VALUE
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,9.38
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,9.49
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,9.64
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,9.81
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,10.23
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,10.52
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,7.41
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,7.12
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,6.72
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,8.45
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,6.95
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,7.06
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,7.25
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,6.91
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,4.76
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,4.70
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,22.78
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,24.37
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,29.72
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,33.67
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,43.40
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,54.35
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,56.89
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,64.51
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,10.46
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,11.50
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,4.90
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,17.54
