REF_AREA,Reference area,Frequency of observation,Measure,Unit of measure,Transport mode,TIME_PERIOD,OBS_VALUE
CHL,Chile,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,47.36
BGR,Bulgaria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,68.66
AUT,Austria,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,4.86
POL,Poland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,11.65
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,657.28
ESP,Spain,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,7.62
KOR,Korea,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,10.16
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,7.70
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,4.56
GRC,Greece,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,26.02
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,62.84
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,3.70
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,4.97
MNE,Montenegro,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,27.16
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,8.23
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,16.43
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,18.20
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,10.63
GRC,Greece,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,27.55
GRC,Greece,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,27.32
GRC,Greece,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,29.58
GRC,Greece,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,29.41
GRC,Greece,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,28.89
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,80.94
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,63.31
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,56.78
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,59.32
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,54.24
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,170.02
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,153.85
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,192.57
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,50.15
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,47.69
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,76.43
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,47.62
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,62.76
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,63.33
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,71.54
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,79.24
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,93.15
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,108.77
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,132.33
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,39.34
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,49.43
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,36.24
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,272.58
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,331.78
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,269.23
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,295.96
LUX,Luxembourg,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,62.18
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,3.62
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,3.70
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,3.42
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,3.34
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,3.42
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,7.66
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,7.64
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,7.80
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,4.01
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,3.90
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,4.71
